year,month,vote_average,drama
1874,12,6.0,0.0
1878,6,6.2,0.0
1883,11,5.4,0.0
1887,8,4.1,0.0
1888,1,4.4,0.0
1888,10,5.9,0.0
1890,1,5.1,0.0
1890,11,4.3,0.0
1891,1,4.05,0.0
1891,4,3.5,0.0
1891,5,3.8,0.0
1891,11,4.0,0.0
1892,10,6.1,0.0
1893,5,5.8,1.0
1894,1,5.525,0.0
1894,3,4.9,0.0
1894,5,5.45,0.0
1894,7,6.3,0.0
1894,9,4.05,0.0
1894,11,6.3,0.0
1895,4,5.7,0.0
1895,6,6.2,0.0
1895,8,6.4,0.0
1895,12,5.8999999999999995,0.0
1896,1,5.883333333333333,0.0
1896,3,5.8,0.0
1896,4,5.0,1.0
1896,12,6.35,0.0
1897,1,5.466666666666666,0.3333333333333333
1897,5,5.0,0.0
1898,1,6.05,0.125
1898,9,6.0,0.0
1899,1,6.3,0.0
1899,5,5.5,0.0
1899,10,5.5,0.0
1900,1,6.25,0.0
1900,3,4.5,0.0
1900,8,6.25,0.0
1900,11,6.5,1.0
1901,1,4.74,0.2
1901,7,5.7,0.0
1901,9,0.0,0.0
1901,10,5.9,0.0
1902,6,5.9,0.0
1902,9,7.9,0.0
1903,1,4.76,0.0
1903,3,6.5,0.0
1903,6,6.2,0.0
1903,8,6.233333333333334,0.0
1903,10,5.666666666666667,0.0
1903,11,4.8,0.0
1903,12,6.199999999999999,0.5
1904,1,4.5,0.0
1904,5,5.5,0.0
1904,10,6.8,0.0
1905,1,6.55,0.0
1905,6,5.6,0.0
1905,7,6.7,1.0
1906,1,5.533333333333334,0.0
1906,2,6.8,0.0
1906,4,5.6,0.0
1906,10,6.8,0.0
1906,12,5.3,1.0
1907,1,6.5,0.0
1907,3,5.2,0.0
1907,7,5.0,0.0
1907,8,6.75,0.0
1908,1,6.5,0.0
1908,2,6.4,0.0
1908,8,6.8,0.0
1908,10,6.0,0.0
1909,1,6.1499999999999995,0.0
1909,4,6.5,0.0
1909,6,5.5,1.0
1909,7,5.3,1.0
1909,9,3.7,1.0
1909,11,5.0,0.0
1909,12,6.5,1.0
1910,2,7.0,0.0
1910,3,6.2,0.0
1910,5,6.0,1.0
1910,6,5.3,1.0
1910,9,6.9,1.0
1910,11,7.0,0.0
1911,1,0.0,0.0
1911,4,6.1,0.0
1911,7,5.8,1.0
1911,9,6.3,0.0
1912,1,3.3,0.0
1912,5,5.0,1.0
1912,10,5.075,0.75
1912,11,5.0,1.0
1913,1,6.0,0.0
1913,5,6.7,1.0
1913,8,5.1,1.0
1913,9,6.4,1.0
1913,10,7.8,1.0
1913,11,5.8999999999999995,1.0
1914,2,5.95,0.0
1914,3,5.85,0.75
1914,4,5.5,0.0
1914,5,5.4,1.0
1914,6,5.833333333333333,0.3333333333333333
1914,7,5.9,0.0
1914,8,6.05,0.5
1914,9,6.7,0.0
1914,11,5.9,0.5
1914,12,5.800000000000001,1.0
1915,1,5.783333333333334,0.6666666666666666
1915,2,5.95,0.5
1915,3,4.675,0.25
1915,4,5.85,0.25
1915,5,4.0,0.0
1915,6,0.0,1.0
1915,8,6.4,0.0
1915,9,7.5,1.0
1915,10,6.233333333333333,0.6666666666666666
1915,11,4.375,0.5
1915,12,4.8,1.0
1916,1,6.0,0.0
1916,2,4.0,0.0
1916,3,5.7,0.0
1916,4,6.4,1.0
1916,5,6.199999999999999,0.0
1916,6,4.9399999999999995,0.6
1916,7,3.15,0.0
1916,8,6.65,0.5
1916,9,6.75,0.5
1916,10,3.2,0.0
1916,11,3.9,0.5
1916,12,5.8,0.4
1917,1,5.225,0.75
1917,3,4.5,1.0
1917,4,6.4,0.0
1917,6,6.7,0.6666666666666666
1917,8,6.3,0.0
1917,10,6.65,0.0
1917,11,9.5,0.0
1917,12,0.0,1.0
1918,1,7.6,1.0
1918,3,5.875,0.75
1918,4,7.1,0.0
1918,5,4.425,1.0
1918,8,6.333333333333333,0.3333333333333333
1918,10,6.9,0.0
1918,12,4.8,1.0
1919,1,6.7,0.0
1919,4,7.9,1.0
1919,5,6.26,1.0
1919,6,6.933333333333334,0.3333333333333333
1919,7,6.3,0.0
1919,8,6.5,0.0
1919,9,6.5,0.5
1919,10,3.9,0.6666666666666666
1919,11,5.5,0.5
1919,12,6.3999999999999995,0.3333333333333333
1920,1,5.875,0.75
1920,2,6.166666666666667,0.6666666666666666
1920,3,6.8,1.0
1920,5,7.5,1.0
1920,7,8.5,0.0
1920,8,6.6,1.0
1920,9,6.800000000000001,0.6666666666666666
1920,10,6.1,0.25
1920,11,2.9,1.0
1920,12,7.0,0.25
1921,1,5.233333333333333,1.0
1921,2,5.8999999999999995,0.0
1921,3,6.8,0.3333333333333333
1921,4,6.566666666666666,0.6666666666666666
1921,5,7.0,0.0
1921,8,5.7,0.0
1921,9,6.866666666666667,0.8333333333333334
1921,10,5.275,0.25
1921,11,5.766666666666667,0.6666666666666666
1921,12,5.116666666666666,0.6666666666666666
1922,1,6.4,0.5
1922,3,5.720000000000001,0.4
1922,4,7.6,1.0
1922,5,5.5,0.5
1922,6,7.2,0.0
1922,7,6.9,0.0
1922,8,5.666666666666667,0.6666666666666666
1922,9,6.65,0.0
1922,10,3.55,0.5
1922,11,5.083333333333334,0.6666666666666666
1922,12,7.0,0.0
1923,1,5.833333333333333,0.0
1923,2,5.325,0.75
1923,3,6.6,0.0
1923,4,7.6,0.5
1923,7,6.0,1.0
1923,9,7.080000000000001,0.8
1923,10,7.066666666666666,0.6666666666666666
1923,11,6.866666666666667,1.0
1924,1,7.175000000000001,0.75
1924,2,4.575,0.75
1924,3,7.0249999999999995,0.75
1924,4,7.0,0.5
1924,5,7.0,0.0
1924,6,5.8,1.0
1924,7,6.0,1.0
1924,8,7.1,0.0
1924,9,6.533333333333334,1.0
1924,10,7.2,0.0
1924,11,5.85,0.5
1924,12,7.4,0.8
1925,1,6.166666666666667,0.3333333333333333
1925,2,3.5,1.0
1925,3,7.175000000000001,0.25
1925,4,7.050000000000001,0.5
1925,6,7.1000000000000005,0.6666666666666666
1925,8,3.8333333333333335,1.0
1925,9,6.875,0.5
1925,10,2.2333333333333334,0.3333333333333333
1925,11,5.56,0.7
1925,12,7.1,0.75
1926,1,6.35,0.5
1926,2,6.25,0.5
1926,3,5.85,0.75
1926,4,4.1000000000000005,0.3333333333333333
1926,5,4.875,0.75
1926,6,7.0,0.5
1926,7,6.433333333333334,0.3333333333333333
1926,8,6.866666666666667,0.3333333333333333
1926,9,6.8,1.0
1926,10,6.483333333333333,0.8333333333333334
1926,11,5.5,0.5
1926,12,5.883333333333333,0.8333333333333334
1927,1,6.8,0.8571428571428571
1927,2,6.85,1.0
1927,3,5.0,1.0
1927,5,0.0,1.0
1927,6,7.6,1.0
1927,8,3.6,0.75
1927,9,4.844444444444445,0.7777777777777778
1927,10,5.359999999999999,0.8
1927,11,6.625,0.5
1927,12,5.7,1.0
1928,1,6.81111111111111,0.8888888888888888
1928,2,6.914285714285714,0.7142857142857143
1928,3,6.2,0.5
1928,4,7.355555555555556,0.7777777777777778
1928,5,6.625,0.5
1928,6,4.433333333333334,1.0
1928,7,5.8999999999999995,0.6666666666666666
1928,8,4.366666666666666,0.6666666666666666
1928,9,7.3,0.75
1928,10,6.2,1.0
1928,11,6.5,0.5555555555555556
1928,12,5.05,0.5
1929,1,6.0,0.8888888888888888
1929,2,6.4624999999999995,0.875
1929,3,6.38,0.8
1929,4,4.64,0.4
1929,5,3.5200000000000005,0.6
1929,6,4.285714285714286,0.7142857142857143
1929,7,0.0,1.0
1929,8,5.02,0.4
1929,9,4.466666666666667,1.0
1929,10,5.288888888888888,0.5555555555555556
1929,11,5.328571428571428,0.42857142857142855
1929,12,6.1125,0.5
1930,1,4.54,0.8
1930,2,3.566666666666666,0.5555555555555556
1930,3,4.0,0.4
1930,4,4.449999999999999,0.625
1930,5,4.957142857142857,0.5714285714285714
1930,6,5.775,0.75
1930,7,3.257142857142857,0.5714285714285714
1930,8,3.5125,0.75
1930,9,1.825,0.25
1930,10,4.699999999999999,0.5
1930,11,4.39,0.7
1930,12,4.125,0.5
1931,1,4.414285714285715,1.0
1931,2,3.8900000000000006,0.7
1931,3,3.1399999999999997,0.8
1931,4,4.976923076923076,0.6153846153846154
1931,5,5.085714285714286,0.7142857142857143
1931,6,3.9125,0.625
1931,7,5.340000000000001,0.6
1931,8,4.685714285714285,0.7142857142857143
1931,9,4.449999999999999,0.625
1931,10,5.199999999999999,0.75
1931,11,5.591666666666666,0.9166666666666666
1931,12,5.933333333333333,0.5
1932,1,4.342857142857143,0.8571428571428571
1932,2,4.391666666666667,0.6666666666666666
1932,3,3.56,0.8
1932,4,4.407692307692308,0.6153846153846154
1932,5,6.716666666666666,1.0
1932,6,7.0,0.6
1932,7,4.7,0.5714285714285714
1932,8,3.9466666666666663,0.2
1932,9,5.526666666666666,0.6
1932,10,5.042857142857143,0.7857142857142857
1932,11,5.445454545454545,0.5454545454545454
1932,12,4.705555555555555,0.5555555555555556
1933,1,5.363636363636363,0.36363636363636365
1933,2,4.653333333333333,0.5333333333333333
1933,3,4.490909090909091,0.6363636363636364
1933,4,5.153333333333334,0.6666666666666666
1933,5,4.8999999999999995,0.36363636363636365
1933,6,4.571428571428571,0.7142857142857143
1933,7,4.036363636363637,0.7272727272727273
1933,8,4.688888888888889,0.7777777777777778
1933,9,4.3500000000000005,0.4166666666666667
1933,10,5.2875,0.375
1933,11,5.136363636363637,0.5454545454545454
1933,12,5.678571428571429,0.35714285714285715
1934,1,6.133333333333333,1.0
1934,2,4.675000000000001,0.5
1934,3,5.6000000000000005,0.6666666666666666
1934,4,6.009090909090909,0.6363636363636364
1934,5,5.109999999999999,0.5
1934,6,4.2153846153846155,0.6153846153846154
1934,7,3.95,0.375
1934,8,4.566666666666666,0.5
1934,9,4.469230769230769,0.6153846153846154
1934,10,4.9,0.8
1934,11,4.49,0.55
1934,12,3.507692307692307,0.38461538461538464
1935,1,3.981818181818181,0.6363636363636364
1935,2,6.133333333333333,0.5833333333333334
1935,3,5.333333333333333,0.3333333333333333
1935,4,4.427272727272727,0.45454545454545453
1935,5,5.3625,1.0
1935,6,5.074999999999999,0.375
1935,7,4.95,0.1
1935,8,5.541666666666667,0.5833333333333334
1935,9,5.125,0.4166666666666667
1935,10,4.369230769230769,0.3076923076923077
1935,11,5.730769230769231,0.6153846153846154
1935,12,4.535714285714286,0.7142857142857143
1936,1,5.727272727272727,0.6363636363636364
1936,2,6.1923076923076925,0.6153846153846154
1936,3,6.222222222222222,0.2222222222222222
1936,4,5.318181818181818,0.6363636363636364
1936,5,5.4363636363636365,0.6363636363636364
1936,6,5.36,0.4
1936,7,5.245454545454545,0.5454545454545454
1936,8,5.966666666666666,0.4444444444444444
1936,9,4.866666666666666,0.5333333333333333
1936,10,6.038461538461538,0.46153846153846156
1936,11,5.5857142857142845,0.42857142857142855
1936,12,5.53125,0.375
1937,1,6.711111111111111,0.8888888888888888
1937,2,6.1499999999999995,0.5
1937,3,3.9900000000000007,0.5
1937,4,5.472727272727273,0.6363636363636364
1937,5,5.626666666666666,0.6
1937,6,6.7,0.8
1937,7,4.343749999999999,0.375
1937,8,5.9222222222222225,0.7777777777777778
1937,9,5.453333333333332,0.5333333333333333
1937,10,5.15,0.55
1937,11,5.891666666666667,0.5
1937,12,4.988888888888889,0.4444444444444444
1938,1,5.7625,0.5
1938,2,6.01,0.5
1938,3,6.21,0.5
1938,4,5.733333333333332,0.4166666666666667
1938,5,5.677777777777778,0.2222222222222222
1938,6,4.241666666666666,0.5
1938,7,5.959999999999999,0.5
1938,8,5.5625,0.375
1938,9,5.355555555555556,0.4444444444444444
1938,10,3.65,0.7857142857142857
1938,11,4.7727272727272725,0.36363636363636365
1938,12,4.333333333333333,0.6666666666666666
1939,1,4.806666666666667,0.6666666666666666
1939,2,4.459999999999999,0.4
1939,3,6.415384615384616,0.46153846153846156
1939,4,5.116666666666666,0.6666666666666666
1939,5,5.7375,0.5
1939,6,5.921428571428571,0.5
1939,7,6.485714285714286,0.8571428571428571
1939,8,6.166666666666667,0.4444444444444444
1939,9,6.457142857142857,0.42857142857142855
1939,10,6.8100000000000005,0.6
1939,11,5.6,0.46153846153846156
1939,12,5.75,0.6666666666666666
1940,1,6.371428571428572,0.7142857142857143
1940,2,5.67,0.5
1940,3,5.533333333333333,0.6666666666666666
1940,4,5.956250000000001,0.5
1940,5,5.385714285714285,0.5
1940,6,4.666666666666667,0.6666666666666666
1940,7,7.112500000000001,0.625
1940,8,6.461538461538462,0.5384615384615384
1940,9,5.478571428571429,0.5
1940,10,5.508333333333333,0.5833333333333334
1940,11,5.566666666666666,0.5833333333333334
1940,12,5.473684210526315,0.42105263157894735
1941,1,4.709090909090909,0.5454545454545454
1941,2,6.3909090909090915,0.36363636363636365
1941,3,5.176923076923076,0.3076923076923077
1941,4,5.592307692307693,0.5384615384615384
1941,5,6.05,0.25
1941,6,5.511111111111111,0.3333333333333333
1941,7,6.225,0.5
1941,8,6.43,0.5
1941,9,6.323076923076924,0.38461538461538464
1941,10,5.885714285714284,0.5
1941,11,6.523529411764706,0.47058823529411764
1941,12,5.7125,0.5625
1942,1,5.762499999999999,0.125
1942,2,6.07,0.3
1942,3,5.3307692307692305,0.38461538461538464
1942,4,5.086666666666668,0.3333333333333333
1942,5,5.12,0.6666666666666666
1942,6,5.08,0.4
1942,7,5.4799999999999995,0.6
1942,8,5.1499999999999995,0.5625
1942,9,5.127272727272727,0.45454545454545453
1942,10,5.875,0.75
1942,11,5.791666666666667,0.4166666666666667
1942,12,5.688888888888888,0.6666666666666666
1943,1,6.364285714285714,0.35714285714285715
1943,2,5.04,0.4
1943,3,5.709999999999999,0.5
1943,4,6.3,0.5
1943,5,5.208333333333333,0.5
1943,6,5.271428571428571,0.5
1943,7,5.7555555555555555,0.3333333333333333
1943,8,5.714285714285715,0.5714285714285714
1943,9,6.8,0.5714285714285714
1943,10,5.072727272727272,0.45454545454545453
1943,11,5.185714285714285,0.35714285714285715
1943,12,4.709999999999999,0.4
1944,1,5.65625,0.5
1944,2,5.811111111111111,0.6666666666666666
1944,3,4.2299999999999995,0.2
1944,4,6.0,0.8
1944,5,6.199999999999999,0.5454545454545454
1944,6,5.59,0.6
1944,7,5.072727272727272,0.6363636363636364
1944,8,6.828571428571428,0.42857142857142855
1944,9,4.3,0.18181818181818182
1944,10,5.593333333333334,0.7333333333333333
1944,11,5.9399999999999995,0.3
1944,12,5.817391304347825,0.6086956521739131
1945,1,4.733333333333334,0.3333333333333333
1945,2,4.533333333333333,1.0
1945,3,5.371428571428572,0.8571428571428571
1945,4,4.207692307692308,0.46153846153846156
1945,5,5.033333333333333,0.25
1945,6,5.366666666666666,0.4444444444444444
1945,7,5.5307692307692315,0.3076923076923077
1945,8,3.7428571428571424,0.42857142857142855
1945,9,5.869999999999999,0.6
1945,10,5.133333333333332,0.75
1945,11,4.531818181818181,0.5
1945,12,5.976470588235294,0.6470588235294118
1946,1,5.825,0.4166666666666667
1946,2,5.261538461538461,0.5384615384615384
1946,3,5.616666666666666,0.6666666666666666
1946,4,6.124999999999999,0.625
1946,5,6.02,0.6
1946,6,5.220000000000001,0.6
1946,7,6.21111111111111,0.6666666666666666
1946,8,6.639999999999999,0.9
1946,9,5.75,0.75
1946,10,5.5687500000000005,0.625
1946,11,5.881818181818181,0.6363636363636364
1946,12,6.036842105263157,0.631578947368421
1947,1,5.55,0.5
1947,2,4.47,0.4
1947,3,4.628571428571428,0.7142857142857143
1947,4,6.6000000000000005,0.4444444444444444
1947,5,5.9799999999999995,0.5333333333333333
1947,6,5.116666666666666,0.6666666666666666
1947,7,6.409999999999999,0.2
1947,8,4.681818181818182,0.7272727272727273
1947,9,4.961538461538462,0.5384615384615384
1947,10,6.574999999999999,0.75
1947,11,5.921052631578948,0.7368421052631579
1947,12,6.28125,0.625
1948,1,5.199999999999999,0.6153846153846154
1948,2,6.114285714285715,0.5714285714285714
1948,3,6.1000000000000005,0.7
1948,4,5.789999999999999,0.8
1948,5,5.111111111111111,0.5555555555555556
1948,6,6.380000000000001,0.3
1948,7,5.463636363636363,0.6363636363636364
1948,8,6.128571428571428,0.42857142857142855
1948,9,6.049999999999998,0.8636363636363636
1948,10,5.614285714285714,0.5714285714285714
1948,11,5.333333333333333,0.9166666666666666
1948,12,6.072727272727272,0.5454545454545454
1949,1,6.10625,0.625
1949,2,6.199999999999999,0.6666666666666666
1949,3,5.366666666666666,0.5555555555555556
1949,4,5.9642857142857135,0.6428571428571429
1949,5,5.949999999999999,0.375
1949,6,5.663636363636364,0.5454545454545454
1949,7,5.918181818181818,0.6363636363636364
1949,8,6.640000000000001,0.4
1949,9,6.75,0.6
1949,10,6.11,0.6
1949,11,4.8388888888888895,0.6666666666666666
1949,12,5.872222222222222,0.5555555555555556
1950,1,4.964705882352941,0.4117647058823529
1950,2,5.325,0.6875
1950,3,5.8999999999999995,0.42857142857142855
1950,4,5.15,0.7
1950,5,5.516666666666666,0.5833333333333334
1950,6,6.0,0.3333333333333333
1950,7,5.874999999999999,0.5625
1950,8,5.478571428571429,0.42857142857142855
1950,9,5.653333333333333,0.5333333333333333
1950,10,5.29375,0.75
1950,11,5.622222222222222,0.4444444444444444
1950,12,6.173333333333334,0.5333333333333333
1951,1,5.52,0.4
1951,2,6.6000000000000005,0.7857142857142857
1951,3,4.364285714285715,0.5
1951,4,6.137037037037037,0.48148148148148145
1951,5,5.2,0.5833333333333334
1951,6,6.027777777777776,0.7222222222222222
1951,7,6.04,0.2
1951,8,5.635294117647059,0.6470588235294118
1951,9,4.866666666666666,0.5333333333333333
1951,10,6.066666666666666,0.6
1951,11,6.493333333333331,0.8
1951,12,5.371428571428572,0.35714285714285715
1952,1,6.2565217391304335,0.5217391304347826
1952,2,5.611764705882353,0.5294117647058824
1952,3,5.166666666666666,0.5833333333333334
1952,4,5.6,0.6153846153846154
1952,5,5.707142857142857,0.5714285714285714
1952,6,5.7272727272727275,0.6363636363636364
1952,7,4.2384615384615385,0.3076923076923077
1952,8,6.371428571428572,0.7857142857142857
1952,9,5.406666666666666,0.4666666666666667
1952,10,5.5,0.38461538461538464
1952,11,5.957142857142857,0.5714285714285714
1952,12,5.451612903225806,0.6129032258064516
1953,1,4.7176470588235295,0.5294117647058824
1953,2,6.314285714285714,0.5
1953,3,5.8999999999999995,0.5333333333333333
1953,4,5.366666666666666,0.5555555555555556
1953,5,6.415789473684211,0.47368421052631576
1953,6,5.823529411764706,0.5294117647058824
1953,7,5.983333333333333,0.3333333333333333
1953,8,5.433333333333334,0.3888888888888889
1953,9,5.713333333333333,0.6666666666666666
1953,10,5.171428571428571,0.6428571428571429
1953,11,5.757142857142857,0.35714285714285715
1953,12,6.015789473684211,0.7368421052631579
1954,1,5.634782608695652,0.5217391304347826
1954,2,5.0,0.38461538461538464
1954,3,5.2789473684210515,0.47368421052631576
1954,4,5.507692307692308,0.38461538461538464
1954,5,5.60909090909091,0.5454545454545454
1954,6,6.356249999999999,0.5
1954,7,5.591666666666666,0.5
1954,8,6.653846153846154,0.6153846153846154
1954,9,6.561904761904763,0.5714285714285714
1954,10,5.779999999999999,0.5
1954,11,5.776923076923077,0.46153846153846156
1954,12,5.972222222222221,0.5555555555555556
1955,1,6.7565217391304335,0.4782608695652174
1955,2,5.591666666666666,0.5833333333333334
1955,3,5.635714285714286,0.5
1955,4,5.5375,0.625
1955,5,5.28,0.6666666666666666
1955,6,5.846153846153845,0.5384615384615384
1955,7,5.87,0.65
1955,8,5.5625,0.5625
1955,9,5.875000000000001,0.5625
1955,10,5.106666666666666,0.6
1955,11,5.572727272727273,0.5909090909090909
1955,12,6.074999999999999,0.5
1956,1,5.475,0.5
1956,2,5.953846153846153,0.3076923076923077
1956,3,6.39,0.55
1956,4,6.669230769230769,0.23076923076923078
1956,5,6.356250000000001,0.6875
1956,6,5.781249999999999,0.625
1956,7,5.585714285714286,0.5
1956,8,6.178947368421052,0.47368421052631576
1956,9,6.138888888888889,0.7222222222222222
1956,10,6.354545454545454,0.7272727272727273
1956,11,5.713333333333333,0.8
1956,12,5.965384615384616,0.4230769230769231
1957,1,5.284210526315789,0.3684210526315789
1957,2,6.414285714285714,0.5714285714285714
1957,3,5.929411764705883,0.4117647058823529
1957,4,6.3,0.6
1957,5,5.3500000000000005,0.4166666666666667
1957,6,5.128571428571428,0.47619047619047616
1957,7,6.078571428571427,0.7142857142857143
1957,8,5.565217391304348,0.5652173913043478
1957,9,5.925,0.5833333333333334
1957,10,5.678571428571429,0.6428571428571429
1957,11,6.04375,0.625
1957,12,6.0857142857142845,0.42857142857142855
1958,1,5.894736842105263,0.5263157894736842
1958,2,5.84,0.7
1958,3,5.807142857142857,0.7857142857142857
1958,4,5.95,0.6111111111111112
1958,5,5.973684210526315,0.2631578947368421
1958,6,5.565217391304348,0.43478260869565216
1958,7,5.8055555555555545,0.3333333333333333
1958,8,5.314285714285715,0.14285714285714285
1958,9,6.033333333333333,0.3333333333333333
1958,10,6.131578947368421,0.631578947368421
1958,11,5.823076923076924,0.46153846153846156
1958,12,6.080952380952381,0.5714285714285714
1959,1,6.404166666666666,0.625
1959,2,5.43,0.6
1959,3,6.2375,0.5625
1959,4,5.6000000000000005,0.3333333333333333
1959,5,6.311764705882353,0.6470588235294118
1959,6,5.604166666666668,0.4583333333333333
1959,7,5.7368421052631575,0.42105263157894735
1959,8,6.6499999999999995,0.35714285714285715
1959,9,5.57,0.4
1959,10,5.391666666666666,0.7083333333333334
1959,11,5.717391304347825,0.5652173913043478
1959,12,6.1499999999999995,0.5357142857142857
1960,1,6.247619047619047,0.5238095238095238
1960,2,6.206666666666666,0.4666666666666667
1960,3,5.934782608695652,0.6086956521739131
1960,4,6.015384615384614,0.3076923076923077
1960,5,6.512499999999999,0.625
1960,6,6.013333333333333,0.7333333333333333
1960,7,6.0600000000000005,0.6
1960,8,5.956521739130435,0.5652173913043478
1960,9,6.172727272727273,0.5909090909090909
1960,10,5.915789473684211,0.47368421052631576
1960,11,5.378947368421052,0.6842105263157895
1960,12,5.533333333333334,0.6111111111111112
1961,1,5.214814814814814,0.5185185185185185
1961,2,5.08,0.5
1961,3,5.757142857142858,0.42857142857142855
1961,4,6.466666666666668,0.5
1961,5,6.2210526315789485,0.5789473684210527
1961,6,5.294736842105263,0.42105263157894735
1961,7,6.260000000000001,0.5
1961,8,6.040000000000001,0.5
1961,9,6.230769230769231,0.6923076923076923
1961,10,6.130434782608697,0.6956521739130435
1961,11,6.192857142857143,0.5
1961,12,6.1000000000000005,0.5
1962,1,5.248148148148148,0.4444444444444444
1962,2,4.884615384615385,0.46153846153846156
1962,3,6.007142857142858,0.6428571428571429
1962,4,6.12,0.7
1962,5,6.172727272727273,0.6363636363636364
1962,6,6.368421052631579,0.5789473684210527
1962,7,6.172727272727273,0.5454545454545454
1962,8,5.0,0.6923076923076923
1962,9,5.633333333333334,0.8
1962,10,6.2,0.631578947368421
1962,11,5.71578947368421,0.631578947368421
1962,12,5.991666666666667,0.625
1963,1,5.537037037037037,0.5185185185185185
1963,2,6.624999999999999,0.4166666666666667
1963,3,5.7875000000000005,0.5625
1963,4,4.814285714285715,0.5
1963,5,6.1499999999999995,0.5714285714285714
1963,6,6.377272727272728,0.45454545454545453
1963,7,7.012499999999999,0.125
1963,8,5.346666666666667,0.4
1963,9,5.766666666666666,0.2777777777777778
1963,10,6.4142857142857155,0.47619047619047616
1963,11,6.242105263157894,0.5263157894736842
1963,12,6.189655172413793,0.5517241379310345
1964,1,5.9228571428571435,0.45714285714285713
1964,2,5.776923076923078,0.46153846153846156
1964,3,5.847619047619046,0.47619047619047616
1964,4,6.546666666666667,0.4666666666666667
1964,5,6.730769230769231,0.5384615384615384
1964,6,5.438461538461539,0.5769230769230769
1964,7,6.266666666666667,0.4444444444444444
1964,8,6.26,0.3
1964,9,6.053846153846154,0.5
1964,10,6.165384615384616,0.4230769230769231
1964,11,5.611111111111111,0.3333333333333333
1964,12,5.714814814814814,0.48148148148148145
1965,1,5.54074074074074,0.3333333333333333
1965,2,6.04,0.8
1965,3,4.038461538461538,0.38461538461538464
1965,4,6.04,0.4666666666666667
1965,5,6.592307692307691,0.6153846153846154
1965,6,5.923076923076922,0.5384615384615384
1965,7,6.376470588235294,0.35294117647058826
1965,8,4.868421052631579,0.42105263157894735
1965,9,5.98125,0.6875
1965,10,6.19642857142857,0.5357142857142857
1965,11,6.5375000000000005,0.6875
1965,12,6.5709677419354815,0.5483870967741935
1966,1,5.853488372093025,0.3953488372093023
1966,2,5.1761904761904765,0.47619047619047616
1966,3,5.51,0.45
1966,4,6.07142857142857,0.2857142857142857
1966,5,5.495238095238095,0.38095238095238093
1966,6,6.108695652173914,0.30434782608695654
1966,7,5.752631578947367,0.3157894736842105
1966,8,5.148,0.4
1966,9,6.113333333333333,0.6666666666666666
1966,10,6.155172413793103,0.3793103448275862
1966,11,5.553846153846154,0.23076923076923078
1966,12,5.865,0.4
1967,1,5.324242424242424,0.3939393939393939
1967,2,5.626315789473684,0.5789473684210527
1967,3,5.858823529411765,0.4117647058823529
1967,4,5.565217391304348,0.2608695652173913
1967,5,5.109999999999999,0.35
1967,6,5.956521739130435,0.6086956521739131
1967,7,5.475,0.4375
1967,8,5.552941176470588,0.5294117647058824
1967,9,6.338888888888888,0.2777777777777778
1967,10,5.982608695652175,0.34782608695652173
1967,11,6.656249999999999,0.625
1967,12,5.925714285714287,0.45714285714285713
1968,1,5.6977777777777785,0.4
1968,2,5.910000000000001,0.55
1968,3,5.752631578947367,0.5263157894736842
1968,4,5.883333333333333,0.375
1968,5,5.591666666666668,0.4583333333333333
1968,6,5.8809523809523805,0.47619047619047616
1968,7,5.714285714285714,0.42857142857142855
1968,8,5.973076923076925,0.3076923076923077
1968,9,6.199999999999999,0.5238095238095238
1968,10,5.6,0.44
1968,11,5.425000000000001,0.4166666666666667
1968,12,6.33720930232558,0.46511627906976744
1969,1,6.13409090909091,0.6136363636363636
1969,2,5.5473684210526315,0.5789473684210527
1969,3,5.52962962962963,0.2962962962962963
1969,4,6.092307692307691,0.46153846153846156
1969,5,5.573684210526316,0.5789473684210527
1969,6,5.445833333333334,0.5833333333333334
1969,7,4.811764705882353,0.5882352941176471
1969,8,5.78125,0.625
1969,9,5.779166666666668,0.6666666666666666
1969,10,5.325000000000001,0.5357142857142857
1969,11,4.542857142857143,0.5714285714285714
1969,12,6.191176470588235,0.4117647058823529
1970,1,6.033333333333335,0.6041666666666666
1970,2,5.534782608695653,0.6086956521739131
