1874,q4,1
1878,q3,1
1883,q4,1
1887,q3,1
1888,q1,1
1888,q4,1
1890,q1,1
1890,q4,1
1891,q1,2
1891,q2,2
1891,q4,1
1892,q4,1
1893,q2,1
1894,q1,5
1894,q2,2
1894,q3,3
1894,q4,1
1895,q2,1
1895,q3,2
1895,q4,3
1896,q1,7
1896,q2,1
1896,q4,2
1897,q1,3
1897,q2,1
1898,q1,8
1898,q3,1
1899,q1,2
1899,q2,1
1899,q4,1
1900,q1,5
1900,q3,2
1900,q4,1
1901,q1,5
1901,q3,2
1901,q4,1
1902,q3,2
1903,q1,6
1903,q3,4
1903,q4,6
1904,q1,1
1904,q2,1
1904,q4,2
1905,q1,2
1905,q3,2
1906,q1,4
1906,q2,1
1906,q4,2
1907,q1,2
1907,q3,3
1908,q1,3
1908,q3,1
1908,q4,1
1909,q1,4
1909,q2,1
1909,q3,3
1909,q4,2
1910,q1,3
1910,q2,1
1910,q3,2
1910,q4,1
1911,q1,1
1911,q2,1
1911,q3,2
1912,q1,2
1912,q2,1
1912,q4,6
1913,q1,1
1913,q2,1
1913,q3,3
1913,q4,4
1914,q1,6
1914,q2,2
1914,q3,7
1914,q4,4
1915,q1,12
1915,q2,5
1915,q3,3
1915,q4,8
1916,q1,3
1916,q2,4
1916,q3,11
1916,q4,9
1917,q1,5
1917,q2,1
1917,q3,4
1917,q4,4
1918,q1,6
1918,q2,5
1918,q3,3
1918,q4,2
1919,q1,1
1919,q2,6
1919,q3,7
1919,q4,8
1920,q1,8
1920,q2,1
1920,q3,5
1920,q4,12
1921,q1,9
1921,q2,4
1921,q3,7
1921,q4,13
1922,q1,7
1922,q2,3
1922,q3,7
1922,q4,9
1923,q1,8
1923,q2,2
1923,q3,6
1923,q4,6
1924,q1,12
1924,q2,5
1924,q3,6
1924,q4,10
1925,q1,9
1925,q2,2
1925,q3,10
1925,q4,17
1926,q1,10
1926,q2,7
1926,q3,13
1926,q4,18
1927,q1,10
1927,q2,1
1927,q3,14
1927,q4,12
1928,q1,20
1928,q2,13
1928,q3,13
1928,q4,18
1929,q1,22
1929,q2,10
1929,q3,16
1929,q4,24
1930,q1,19
1930,q2,15
1930,q3,23
1930,q4,22
1931,q1,22
1931,q2,20
1931,q3,28
1931,q4,28
1932,q1,29
1932,q2,19
1932,q3,42
1932,q4,43
1933,q1,37
1933,q2,26
1933,q3,46
1933,q4,33
1934,q1,23
1934,q2,31
1934,q3,40
1934,q4,38
1935,q1,35
1935,q2,19
1935,q3,42
1935,q4,40
1936,q1,33
1936,q2,22
1936,q3,45
1936,q4,43
1937,q1,27
1937,q2,26
1937,q3,45
1937,q4,50
1938,q1,28
1938,q2,21
1938,q3,39
1938,q4,37
1939,q1,38
1939,q2,20
1939,q3,37
1939,q4,35
1940,q1,33
1940,q2,30
1940,q3,41
1940,q4,43
1941,q1,35
1941,q2,21
1941,q3,40
1941,q4,47
1942,q1,31
1942,q2,30
1942,q3,37
1942,q4,42
1943,q1,29
1943,q2,24
1943,q3,44
1943,q4,45
1944,q1,35
1944,q2,16
1944,q3,39
1944,q4,48
1945,q1,25
1945,q2,25
1945,q3,39
1945,q4,51
1946,q1,31
1946,q2,18
1946,q3,32
1946,q4,46
1947,q1,35
1947,q2,24
1947,q3,46
1947,q4,43
1948,q1,30
1948,q2,19
1948,q3,57
1948,q4,48
1949,q1,46
1949,q2,22
1949,q3,42
1949,q4,56
1950,q1,47
1950,q2,22
1950,q3,57
1950,q4,49
1951,q1,43
1951,q2,39
1951,q3,60
1951,q4,44
1952,q1,52
1952,q2,27
1952,q3,53
1952,q4,58
1953,q1,46
1953,q2,37
1953,q3,62
1953,q4,47
1954,q1,55
1954,q2,24
1954,q3,62
1954,q4,41
1955,q1,49
1955,q2,31
1955,q3,65
1955,q4,61
1956,q1,53
1956,q2,29
1956,q3,67
1956,q4,63
1957,q1,50
1957,q2,39
1957,q3,70
1957,q4,72
1958,q1,43
1958,q2,37
1958,q3,76
1958,q4,53
1959,q1,50
1959,q2,23
1959,q3,67
1959,q4,75
1960,q1,59
1960,q2,21
1960,q3,70
1960,q4,56
1961,q1,51
1961,q2,25
1961,q3,52
1961,q4,63
1962,q1,54
1962,q2,42
1962,q3,58
1962,q4,62
1963,q1,55
1963,q2,28
1963,q3,63
1963,q4,69
1964,q1,69
1964,q2,28
1964,q3,71
1964,q4,71
1965,q1,55
1965,q2,28
1965,q3,78
1965,q4,75
1966,q1,84
1966,q2,35
1966,q3,82
1966,q4,95
1967,q1,86
1967,q2,43
1967,q3,74
1967,q4,74
1968,q1,84
1968,q2,48
1968,q3,89
1968,q4,92
1969,q1,90
1969,q2,32
1969,q3,81
1969,q4,83
1970,q1,90
1970,q2,37
1970,q3,94
1970,q4,109
1971,q1,96
1971,q2,54
1971,q3,113
1971,q4,93
1972,q1,104
1972,q2,45
1972,q3,113
1972,q4,96
1973,q1,117
1973,q2,58
1973,q3,80
1973,q4,88
1974,q1,88
1974,q2,60
1974,q3,91
1974,q4,94
1975,q1,100
1975,q2,32
1975,q3,88
1975,q4,86
1976,q1,77
1976,q2,54
1976,q3,85
1976,q4,97
1977,q1,83
1977,q2,37
1977,q3,109
1977,q4,86
1978,q1,82
1978,q2,49
1978,q3,84
1978,q4,86
1979,q1,80
1979,q2,55
1979,q3,88
1979,q4,93
1980,q1,92
1980,q2,38
1980,q3,112
1980,q4,92
1981,q1,98
1981,q2,52
1981,q3,101
1981,q4,90
1982,q1,95
1982,q2,52
1982,q3,97
1982,q4,99
1983,q1,101
1983,q2,46
1983,q3,99
1983,q4,87
1984,q1,87
1984,q2,47
1984,q3,117
1984,q4,98
1985,q1,100
1985,q2,47
1985,q3,101
1985,q4,102
1986,q1,106
1986,q2,55
1986,q3,110
1986,q4,90
1987,q1,125
1987,q2,58
1987,q3,131
1987,q4,117
1988,q1,125
1988,q2,70
1988,q3,136
1988,q4,111
1989,q1,128
1989,q2,71
1989,q3,105
1989,q4,107
1990,q1,125
1990,q2,55
1990,q3,124
1990,q4,97
1991,q1,109
1991,q2,60
1991,q3,125
1991,q4,109
1992,q1,117
1992,q2,69
1992,q3,135
1992,q4,103
1993,q1,108
1993,q2,76
1993,q3,151
1993,q4,123
1994,q1,143
1994,q2,75
1994,q3,153
1994,q4,128
1995,q1,134
1995,q2,94
1995,q3,175
1995,q4,143
1996,q1,152
1996,q2,87
1996,q3,177
1996,q4,177
1997,q1,171
1997,q2,91
1997,q3,192
1997,q4,156
1998,q1,185
1998,q2,101
1998,q3,215
1998,q4,169
1999,q1,185
1999,q2,88
1999,q3,205
1999,q4,193
2000,q1,207
2000,q2,112
2000,q3,235
2000,q4,172
2001,q1,249
2001,q2,89
2001,q3,250
2001,q4,211
2002,q1,268
2002,q2,116
2002,q3,248
2002,q4,220
2003,q1,236
2003,q2,137
2003,q3,266
2003,q4,192
2004,q1,287
2004,q2,145
2004,q3,286
2004,q4,226
2005,q1,309
2005,q2,165
2005,q3,345
2005,q4,245
2006,q1,331
2006,q2,165
2006,q3,405
2006,q4,316
2007,q1,367
2007,q2,183
2007,q3,406
2007,q4,295
2008,q1,422
2008,q2,154
2008,q3,447
2008,q4,377
2009,q1,447
2009,q2,222
2009,q3,457
2009,q4,407
2010,q1,351
2010,q2,223
2010,q3,461
2010,q4,405
2011,q1,380
2011,q2,226
2011,q3,537
2011,q4,454
2012,q1,380
2012,q2,220
2012,q3,561
2012,q4,439
2013,q1,415
2013,q2,271
2013,q3,605
2013,q4,506
2014,q1,435
2014,q2,330
2014,q3,637
2014,q4,488
2015,q1,457
2015,q2,300
2015,q3,614
2015,q4,485
2016,q1,403
2016,q2,270
2016,q3,491
2016,q4,394
2017,q1,251
2017,q2,142
2017,q3,120
2017,q4,11
2018,q1,1
2018,q2,2
2018,q4,2
2020,q4,1
